,代號,名稱,股東權益(億),每股淨值(元)
331,8938,明安,56.5,39.09
332,6761,穩得,9.33,39.03
333,6556,勝品,11.3,39.01
334,3583,辛耘,31.3,38.95
335,4927,泰鼎-KY,74.3,38.94
336,2947,振宇五金,7.49,38.88
337,3014,聯陽,62.6,38.87
338,2732,六角,20.9,38.83
339,2540,愛山林,62.6,38.79
340,4933,友輝,31,38.79
341,1103,嘉泥,259,38.74
342,2616,山隆,54.6,38.67
343,9942,茂順,32.3,38.66
344,2441,超豐,220,38.62
345,1402,遠東新,2694.0,38.5
346,2355,敬鵬,153,38.42
347,2936,客思達-KY,29.2,38.39
348,8039,台虹,81.9,38.39
349,1312,國喬,392,38.35
350,8083,瑞穎,13.4,38.22
351,3529,力旺,28.8,38.2
352,2347,聯強,659,38.14
353,5546,永固-KY,32.3,38.08
354,3689,湧德,29.6,38.07
355,2707,晶華,51.6,38.06
356,2752,豆府,8.88,38.01
357,6690,安碁資訊,6.44,37.89
358,2545,皇翔,124,37.82
359,4164,承業醫,63.1,37.78
360,3317,尼克森,23.1,37.77
361,8114,振樺電,44.7,37.76
362,2458,義隆,110,37.75
363,8488,吉源-KY,25.4,37.69
364,3498,陽程,23.1,37.63
365,2727,王品,33.7,37.62
366,6505,台塑化,3618.0,37.52
367,1451,年興,74.3,37.5
368,4123,晟德,211,37.5
369,4190,佐登-KY,22.8,37.5
370,2617,台航,156,37.47
371,3702,大聯大,712,37.47
372,5284,jpp-KY,16.6,37.45
373,1762,中化生,28.9,37.31
374,4919,新唐,156,37.28
375,4126,太醫,27.1,37.27
376,4953,緯軟,24.6,37.26
377,6173,信昌電,63.7,37.24
378,8466,美吉吉-KY,24.8,37.04
379,2643,捷迅,11.1,37.03
380,1434,福懋,622,37
381,6494,九齊,11.7,36.95
382,2472,立隆電,89.6,36.84
383,6684,安格,8.99,36.84
384,4974,亞泰,26.7,36.79
385,4568,科際精密,11.1,36.75
386,1702,南僑,118,36.71
387,1603,華電,58.3,36.59
388,1319,東陽,223,36.58
389,1773,勝一,73.1,36.53
390,4743,合一,141,36.53
391,6640,均華,10.1,36.5
392,6664,群翊,20.1,36.47
393,3213,茂訊,21.4,36.23
394,8103,瀚荃,28.6,36.2
395,3311,閎暉,24.6,36.12
396,9938,百和,136,36.11
397,2597,潤弘,82.1,36.1
398,6727,亞泰金屬,7.73,36.08
399,8032,光菱,18.7,35.95
400,5203,訊連,28.3,35.91
401,7556,意德士,7.91,35.91
402,3265,台星科,48.9,35.9
403,1235,興泰,36.1,35.79
404,4973,廣穎,22.6,35.65
405,1560,中砂,54.1,35.63
406,9927,泰銘,59.8,35.51
407,5243,乙盛-KY,59.8,35.46
408,3530,晶相光,27.3,35.4
409,4430,耀億,19.9,35.32
410,4977,眾達-KY,24.6,35.3
411,5876,上海商銀,2092.0,35.3
412,2536,宏普,117,35.2
413,6457,紘康,11.2,35.2
414,3003,健和興,55.1,35.16
415,8163,達方,127,35.15
416,3017,奇鋐,141,35.13
417,2066,世德,13.3,34.91
418,2107,厚生,119,34.87
419,3454,晶睿,30.7,34.87
420,4119,旭富,33.2,34.81
421,2015,豐興,202,34.72
422,6589,台康生技,104,34.72
423,2235,謚源,12.4,34.69
424,4566,時碩工業,24.8,34.64
425,8349,恒耀,47.9,34.62
426,4549,桓達,15.3,34.58
