,代號,名稱,股東權益(億),每股淨值(元)
1590,3313,斐成,11.8,9.92
1591,5484,慧友,5.29,9.9
1592,9949,琉園,4.35,9.88
1593,9929,秋雨,10.8,9.83
1594,2438,翔耀,8.25,9.78
1595,3202,樺晟,20,9.78
1596,8059,凱碩,18.4,9.77
1597,4414,如興,85.2,9.68
1598,8409,商之器,3.1,9.68
1599,6167,久正,15.5,9.58
1600,3058,立德,15,9.54
1601,8937,合騏,6.9,9.51
1602,6142,友勁,31.3,9.46
1603,3308,聯德,6.65,9.43
1604,6101,寬魚國際,10.8,9.42
1605,6431,光麗-KY,7.42,9.42
1606,4924,欣厚-KY,3.5,9.41
1607,4413,飛寶企業,2.94,9.4
1608,5340,建榮,18.3,9.4
1609,6144,得利影,3.58,9.36
1610,5488,松普,8.55,9.34
1611,3576,聯合再生,158,9.3
1612,8935,邦泰,7.84,9.3
1613,4154,樂威科-KY,3.98,9.28
1614,6109,亞元,5.44,9.19
1615,2067,嘉鋼,5.08,9.11
1616,4188,安克,5.79,9.07
1617,4127,天良,4.14,9.05
1618,6244,茂迪,32.9,9.05
1619,3046,建碁,6.48,8.99
1620,3057,喬鼎,8.04,8.99
1621,3229,晟鈦,2.85,8.97
1622,1435,中福,12.5,8.96
1623,3011,今皓,10.1,8.96
1624,8087,華鎂鑫,2.58,8.87
1625,5302,太欣,14.2,8.85
1626,3259,鑫創,6.51,8.71
1627,4946,辣椒,1.19,8.71
1628,1413,宏洲,11.5,8.68
1629,1432,大魯閣,7.68,8.66
1630,2314,台揚,19.6,8.61
1631,6733,博晟生醫,9.43,8.61
1632,2444,兆勁,8.72,8.59
1633,3629,地心引力,2.98,8.49
1634,3521,鴻翊,4.05,8.45
1635,4729,熒茂,10.9,8.43
1636,5210,寶碩,5.23,8.41
1637,1616,億泰,15.9,8.4
1638,2349,錸德,105,8.4
1639,1472,三洋實業,2.1,8.39
1640,8940,新天地,6.5,8.38
1641,5455,昇益,5.43,8.29
1642,5227,立凱-KY,4.97,8.28
1643,6152,百一,13.8,8.16
1644,3664,安瑞-KY,3.99,8.12
1645,9912,偉聯,4.21,8.11
1646,8068,全達,5.53,8.05
1647,5475,德宏,10.2,8.03
1648,8176,智捷,6.06,8.03
1649,2516,新建,18.1,8.02
1650,1781,合世,3.78,7.98
1651,6541,泰福-KY,27.9,7.93
1652,3713,新晶投控,6.21,7.83
1653,6247,淇譽電,4.71,7.81
1654,1213,大飲,4.42,7.8
1655,5355,佳總,13.2,7.79
1656,4943,康控-KY,13.1,7.76
1657,5309,系統電,12.1,7.75
1658,5529,鉅陞,9.6,7.74
1659,5383,金利,8.03,7.61
1660,8092,建暐,2.94,7.58
1661,4950,牧東,3.52,7.54
1662,4934,太極,18.1,7.53
1663,6264,富裔,9.08,7.49
1664,5324,士開,17.7,7.41
1665,1441,大東,8.21,7.4
1666,3710,連展投控,18.4,7.39
1667,4304,勝昱,2.66,7.39
1668,6241,易通展,2.49,7.38
1669,1468,昶和,12.1,7.33
1670,8121,越峰,19.4,7.3
1671,5703,亞都,5.11,7.27
1672,2022,聚亨,63.2,7.22
1673,8421,旭源,4.9,7.21
1674,2739,寒舍,8.02,7.19
1675,6222,上揚,2.9,7.14
1676,8038,長園科,4.78,7.09
1677,3523,迎輝,4.39,7.03
1678,5468,凱鈺,1.94,6.96
1679,3149,正達,14.3,6.94
1680,5310,天剛,2.01,6.94
1681,5344,立衛,5.5,6.92
1682,1471,首利,10.3,6.82
1683,2429,銘旺科,3.17,6.81
1684,3682,亞太電,294,6.81
1685,8277,商丞,6.65,6.79
1686,3686,達能,7.65,6.74
1687,8933,愛地雅,20,6.67
1688,3593,力銘,6.15,6.61
1689,6169,昱泉,1.52,6.5
1690,2424,隴華,2.16,6.35
1691,2734,易飛網,2.52,6.34
1692,4903,聯光通,6.4,6.32
1693,8033,雷虎,9.66,6.23
1694,4402,福大,2.82,6.14
1695,1805,寶徠,5.96,5.95
1696,4131,晶宇,1.17,5.9
1697,3494,誠研,10.4,5.88
1698,8067,志旭,1.75,5.8
1699,1506,正道,10.9,5.77
1700,6228,全譜,2.28,5.69
1701,3115,寶島極,2.48,5.67
1702,4530,宏易,2.84,5.47
1703,2924,東凌-KY,1.79,5.46
1704,8093,保銳,3.49,5.43
1705,3321,同泰,8.44,5.41
1706,1799,易威,9.12,5.35
1707,5301,寶得利,5.49,5.29
1708,2380,虹光,10,5.22
1709,3522,御頂,3.71,5.21
1710,8084,巨虹,3.75,5.19
1711,6291,沛亨,2.07,5.01
1712,5348,系通,1.36,4.68
1713,2724,富驛-KY,2.72,4.57
1714,8077,洛碁,4.9,4.47
1715,5381,合正,7.2,4
1716,3288,點晶,0.88,3.94
1717,4192,杏國,4.43,3.85
1718,4609,唐鋒,1.83,3.81
1719,3642,駿熠電,1.6,3.73
1720,3018,同開,2.71,3.7
1721,4806,昇華,1.72,3.49
1722,3632,研勤,1.74,3.48
1723,8291,尚茂,1.64,3.46
1724,9928,中視,4.34,2.88
1725,5314,世紀,1.64,2.74
1726,2443,昶虹,4.06,2.6
1727,3064,泰偉,0.9,2.6
1728,2025,千興,6.99,2.49
1729,2321,東訊,4.79,2.4
1730,6236,康呈,0.72,2.26
1731,9950,萬國通,3.34,2.26
1732,3191,和進,1.25,2.19
1733,4944,兆遠,1.93,2.14
1734,4419,元勝,1.17,1.99
1735,8101,華冠,4.11,1.97
1736,3085,新零售,0.93,1.93
1737,5701,劍湖山,5.71,1.93
1738,5345,天揚,0.89,1.87
1739,4157,太景*-KY,12.5,1.75
1740,2740,天蔥,0.23,1.72
1741,6103,合邦,1.37,1.53
1742,2719,燦星旅,0.5,1.47
1743,3383,新世紀,0.97,1.38
1744,1538,正峰,0.34,1.28
1745,5205,中茂,0.09,1.05
1746,4712,南璋,0.76,1.03
1747,6404,通訊-KY,0.11,0.77
1748,4198,欣大健康,0.94,0.68
1749,3043,科風,1,0.67
1750,3536,誠創,1.29,0.51
1751,3095,及成,0.53,0.48
1752,6287,元隆,1.88,0.43
1753,1512,瑞利,0.75,0.3
1754,6225,天瀚,0.13,0.29
1755,6289,華上,0.01,0.01
